customer_id,first_name,last_name,city,gender,age,age_group,signup_date
100000,Blake,Verma,Ahmedabad,F,48,36-50,2020-05-10
100001,Rowan,Saxena,Delhi,M,52,51-70,2021-07-18
100002,Morgan,Verma,Ahmedabad,M,38,36-50,2021-02-04
100003,Robin,Bose,Pune,F,48,36-50,2020-12-31
100004,Avery,Saxena,Bengaluru,F,36,36-50,2022-06-27
100005,Avery,Iyer,Hyderabad,F,48,36-50,2023-12-10
100006,Skyler,Sharma,Hyderabad,M,49,36-50,2019-04-12
100007,Morgan,Malhotra,Lucknow,F,19,18-25,2021-05-23
100008,Casey,Verma,Chennai,F,69,51-70,2018-11-27
100009,Taylor,Bhat,Ahmedabad,F,27,26-35,2022-01-22
100010,Kendall,Bhat,Chennai,M,19,18-25,2023-11-06
100011,Cameron,Nair,Pune,F,19,18-25,2018-05-11
100012,Rowan,Chopra,Hyderabad,F,41,36-50,2022-08-13
100013,Blake,Das,Pune,F,34,26-35,2020-02-09
100014,Casey,Singh,Jaipur,M,49,36-50,2024-07-19
100015,Drew,Verma,Bengaluru,F,33,26-35,2022-02-24
100016,Jordan,Kohli,Lucknow,M,33,26-35,2024-08-30
100017,Rowan,Chopra,Pune,M,63,51-70,2021-04-30
100018,Robin,Singh,Lucknow,F,56,51-70,2020-08-13
100019,Morgan,Patel,Bengaluru,M,48,36-50,2024-05-13
100020,Avery,Nair,Delhi,F,60,51-70,2021-03-30
100021,Quinn,Kumar,Pune,F,41,36-50,2019-04-05
100022,Jamie,Rao,Kolkata,M,18,18-25,2018-01-22
100023,Drew,Chopra,Mumbai,F,28,26-35,2024-04-19
100024,Reese,Chopra,Hyderabad,F,38,36-50,2020-01-18
100025,Alex,Joshi,Hyderabad,M,21,18-25,2019-04-20
100026,Skyler,Patel,Hyderabad,F,24,18-25,2020-12-18
100027,Peyton,Rao,Delhi,M,43,36-50,2023-08-10
100028,Kendall,Chopra,Mumbai,M,64,51-70,2020-09-02
100029,Cameron,Chatterjee,Bengaluru,M,67,51-70,2022-12-12
100030,Kendall,Kohli,Delhi,M,29,26-35,2018-07-09
100031,Morgan,Iyer,Hyderabad,M,48,36-50,2019-07-17
100032,Kendall,Chatterjee,Hyderabad,O,34,26-35,2023-03-15
100033,Jamie,Patel,Chennai,F,50,36-50,2021-06-21
100034,Riley,Das,Lucknow,F,28,26-35,2022-03-09
100035,Morgan_dup,Verma,Lucknow,M,45,36-50,2019-10-09
100036,Avery,Bhat,Chennai,F,49,36-50,2023-08-31
100037,Cameron,Mehta,Jaipur,M,18,18-25,2024-01-24
100038,Quinn,Das,Chennai,M,64,51-70,2021-07-21
100039,Robin,Bose,Lucknow,M,45,36-50,2024-09-01
100040,Morgan,Joshi,Hyderabad,M,59,51-70,2019-08-24
100041,Robin,Nair,Kolkata,M,24,18-25,2024-06-21
100042,Quinn,Verma,Lucknow,F,19,18-25,2023-08-24
100043,Taylor,Malhotra,Mumbai,F,59,51-70,2018-08-30
100044,Taylor,Ahuja,Kolkata,M,41,36-50,2023-08-04
100045,Alex,Bhat,Delhi,M,21,18-25,2021-09-25
100046,Blake,Bose,Lucknow,M,61,51-70,2023-11-10
100047,Sam,Malhotra,Bengaluru,O,36,36-50,2021-10-22
100048,Taylor,Iyer,Pune,F,43,36-50,2022-01-18
100049,Rowan,Nair,Pune,F,28,26-35,2020-02-15
100050,Riley,Malhotra,Mumbai,F,57,51-70,2018-02-04
100051,Quinn,Ahuja,Ahmedabad,M,67,51-70,2024-03-03
100052,Alex,Saxena,Pune,O,60,51-70,2023-05-10
100053,Blake,Sharma,Mumbai,M,28,26-35,2022-05-05
100054,Reese,Chatterjee,Ahmedabad,M,62,51-70,2020-10-18
100055,Alex,Sharma,Delhi,F,20,18-25,2021-02-03
100056,Sam,Bose,Ahmedabad,M,29,26-35,2022-02-09
100057,Rowan,Malhotra,Bengaluru,F,20,18-25,2019-12-04
100058,Harper,Kohli,Lucknow,M,59,51-70,2024-09-15
100059,Reese,Verma,Pune,F,44,36-50,2022-04-29
100060,Cameron,Kumar,Hyderabad,M,66,51-70,2018-06-11
100061,Rowan,Rao,Chennai,M,19,18-25,2018-07-21
100062,Riley,Gupta,Lucknow,F,66,51-70,2023-06-05
100063,Blake,Chopra,Delhi,F,33,26-35,2020-09-22
100064,Robin,Kohli,Delhi,O,19,18-25,2024-05-06
100065,Casey,Chatterjee,Mumbai,F,47,36-50,2020-03-26
100066,Blake,Bhat,Jaipur,F,37,36-50,2019-04-01
100067,Sam,Bose,Ahmedabad,F,55,51-70,2021-06-29
100068,Riley,Malhotra,Ahmedabad,M,45,36-50,2020-10-13
100069,Kendall,Malhotra,Mumbai,M,42,36-50,2024-06-01
100070,Reese,Singh,Chennai,M,49,36-50,2018-12-04
100071,Robin,Verma,Hyderabad,F,27,26-35,2020-05-28
100072,Riley,Rao,Delhi,M,59,51-70,2020-12-12
100073,Harper,Kohli,Lucknow,F,57,51-70,2020-03-02
100074,Quinn,Rao,Chennai,F,50,36-50,2024-03-14
100075,Cameron,Rao,Hyderabad,F,30,26-35,2020-02-03
100076,Drew,Joshi,Jaipur,M,58,51-70,2024-02-14
100077,Reese,Nair,Lucknow,M,59,51-70,2019-01-15
100078,Reese,Bose,Mumbai,F,64,51-70,2019-05-08
100079,Reese,Das,Lucknow,M,54,51-70,2021-03-26
100080,Quinn,Malhotra,Bengaluru,M,33,26-35,2023-08-25
100081,Harper,Kohli,Jaipur,M,62,51-70,2018-03-06
100082,Kendall,Bhat,Mumbai,M,39,36-50,2021-09-29
100083,Drew,Das,Mumbai,M,37,36-50,2021-02-26
100084,Jordan,Sharma,Mumbai,F,67,51-70,2023-07-21
